,Player,Division,Conference,Power5,School,Drafted?,position_pick_number,G,Rush,Rush Yds,Rush TD,Rush Yds/Att,Rush Yds/G,Rush TD/G
738,Greg McCrae,FBS,AAC,N,UCF,N,Undrafted,33,380,2469,27,6.5,74.8,0.8
739,Gunnar Brekke,FCS,Big Sky,N,Montana St.,N,Undrafted,24,163,898,5,5.5,37.4,0.2
740,Gus Edwards,FBS,Big Ten,Y,Rutgers,N,Undrafted,24,230,1051,11,4.6,43.8,0.5
741,Gus Johnson,FCS,Southland,N,SFA,N,Undrafted,24,432,2744,34,6.4,114.3,1.4
742,Hank McCloud,FCS,SoCon,N,Furman,N,Undrafted,25,338,1633,10,4.8,65.3,0.4
743,Harlan Dixon,FCS,Southland,N,Southeastern La.,N,Undrafted,11,94,403,5,4.3,36.6,0.5
744,Harold Coles,FCS,Ivy League,N,Cornell,N,Undrafted,28,351,2057,16,5.9,73.5,0.6
745,Harold Cooper,FCS,CAA,N,Rhode Island,N,Undrafted,42,508,2165,10,4.3,51.5,0.2
746,Harrison Bey-Buie,FCS,OVC,N,Eastern Ill.,N,Undrafted,11,132,479,4,3.6,43.5,0.4
747,Harrison Waylee,FBS,Mountain West,N,Wyoming,N,Undrafted,32,537,2876,15,5.4,89.9,0.5
748,Hassan Hall,FBS,ACC,Y,Georgia Tech,N,Undrafted,25,224,1022,6,4.6,40.9,0.2
749,Hassan Haskins,FBS,Big Ten,Y,Michigan,Y,11.0,33,452,2324,30,5.1,70.4,0.9
750,Henry Josey,FBS,SEC,Y,Missouri,N,Undrafted,14,174,1166,16,6.7,83.3,1.1
751,Henry Parrish Jr.,FBS,ACC,Y,Miami (FL),N,Undrafted,34,335,1794,13,5.4,52.8,0.4
752,Herb Walker Jr.,FCS,MEAC,N,Morgan St.,N,Undrafted,35,489,2443,18,5.0,69.8,0.5
753,Herbert Edwards,FCS,SWAC,N,Southern U.,N,Undrafted,10,174,977,5,5.6,97.7,0.5
754,Horactio Banks,FBS,MAC,N,Ball St.,N,Undrafted,9,95,595,7,6.3,66.1,0.8
755,Hosey Williams,FBS,AAC,N,Cincinnati,N,Undrafted,25,253,1432,8,5.7,57.3,0.3
756,Hunter Cobb,FCS,Pioneer,N,Marist,N,Undrafted,21,220,1156,17,5.3,55.0,0.8
757,Hunter Rice,FCS,SoCon,N,VMI,N,Undrafted,11,170,867,14,5.1,78.8,1.3
758,Hunter Smith,FBS,Sun Belt,N,ULM,N,Undrafted,12,94,507,3,5.4,42.2,0.2
759,I'Tavius Mathers,FBS,CUSA,N,Middle Tenn.,N,Undrafted,25,327,2124,20,6.5,85.0,0.8
760,Iaan Cousin,FCS,Big South,N,Kennesaw St.,N,Undrafted,13,47,479,4,10.2,36.8,0.3
761,Ian Eriksen,FBS,MAC,N,Eastern Mich.,N,Undrafted,23,363,1576,17,4.3,68.5,0.7
762,Ian Wheeler,FCS,MEAC,N,Howard,N,Undrafted,19,117,823,10,7.0,43.3,0.5
763,Idreis Augustus,FCS,MEAC,N,N.C. Central,N,Undrafted,8,75,323,3,4.3,40.4,0.4
764,Ikaika Ragsdale,FBS,CUSA,N,North Texas,N,Undrafted,25,242,1289,12,5.3,51.6,0.5
765,Imani Cross,FBS,Big Ten,Y,Nebraska,N,Undrafted,13,85,447,10,5.3,34.4,0.8
766,Irv Mulligan,FCS,SWAC,N,Jackson St.,N,Undrafted,8,122,674,5,5.5,84.2,0.6
767,Irvin Mulligan,FCS,SoCon,N,Wofford,N,Undrafted,15,175,1196,10,6.8,79.7,0.7
768,Irvin Riley,FCS,Pioneer,N,Jacksonville,N,Undrafted,11,119,625,6,5.3,56.8,0.5
769,Isaac Bennett,FBS,ACC,Y,Pittsburgh,N,Undrafted,13,171,797,7,4.7,61.3,0.5
770,Isaac Foster,FCS,ASUN,N,Kennesaw St.,N,Undrafted,24,136,1155,9,8.5,48.1,0.4
771,Isaac Guerendo,FBS,ACC,Y,Louisville,Y,9.0,14,132,810,11,6.1,57.9,0.8
772,Isaac Wallace,FCS,MVFC,N,South Dakota St.,N,Undrafted,26,184,1035,9,5.6,39.8,0.3
773,Isaac Washington,FCS,MEAC,N,Bethune-Cookman,N,Undrafted,11,119,636,5,5.3,57.8,0.5
774,Isaiah Bowser,FBS,AAC,N,UCF,N,Undrafted,33,561,2368,31,4.2,71.8,0.9
775,Isaiah Crowell,FCS,SWAC,N,Alabama St.,N,Undrafted,12,170,1121,15,6.6,93.4,1.2
776,Isaiah Davis,FCS,MVFC,N,South Dakota St.,Y,14.0,46,676,4548,50,6.7,98.9,1.1
777,Isaiah Ifanse,FCS,Big Sky,N,Montana St.,N,Undrafted,38,602,3461,23,5.7,91.1,0.6
778,Isaiah Johnson,FCS,OVC,N,Eastern Ill.,N,Undrafted,22,245,1391,12,5.7,63.2,0.5
779,Isaiah Malcome,FCS,Ivy League,N,Penn,N,Undrafted,10,123,710,6,5.8,71.0,0.6
780,Isaiah Saunders,FCS,Big Sky,N,Idaho,N,Undrafted,36,488,2168,17,4.4,60.2,0.5
781,Isaiah Smith,FCS,MVFC,N,North Dakota,N,Undrafted,23,156,1041,6,6.7,45.3,0.3
782,Isaiah Spiller,FBS,SEC,Y,Texas A&M,Y,9.0,35,541,2993,25,5.5,85.5,0.7
783,Isaiah Totten,FCS,MEAC,N,N.C. Central,N,Undrafted,34,422,2118,15,5.0,62.3,0.4
784,Isaiah White,FCS,CAA,N,Stony Brook,N,Undrafted,11,130,709,5,5.5,64.5,0.5
785,Isaiah Williams,FCS,Pioneer,N,San Diego,N,Undrafted,10,228,1081,8,4.7,108.1,0.8
786,Isaih Pacheco,FBS,Big Ten,Y,Rutgers,N,Undrafted,12,167,647,5,3.9,53.9,0.4
787,Ish Witter,FBS,SEC,Y,Missouri,N,Undrafted,37,476,2317,13,4.9,62.6,0.4
788,Ishod Byarm,FCS,Big South,N,Bryant,N,Undrafted,11,119,542,5,4.6,49.3,0.5
789,Isiah Pacheco,FBS,Big Ten,Y,Rutgers,Y,22.0,32,396,1795,13,4.5,56.1,0.4
790,Isiaha Smith,FCS,SoCon,N,The Citadel,N,Undrafted,23,227,1154,12,5.1,50.2,0.5
791,Isidore Jackson,FCS,MEAC,N,Bethune-Cookman,N,Undrafted,12,148,828,8,5.6,69.0,0.7
792,Ismail Mahdi,FBS,Sun Belt,N,Texas St.,N,Undrafted,21,335,1899,12,5.7,90.4,0.6
793,Israel Abanikanda,FBS,ACC,Y,Pittsburgh,Y,9.0,24,362,2082,27,5.8,86.8,1.1
794,Israel Tucker,FBS,CUSA,N,Louisiana Tech,N,Undrafted,10,149,648,4,4.3,64.8,0.4
795,Issiah Aguero,FCS,Pioneer,N,Morehead St.,N,Undrafted,30,378,1794,17,4.7,59.8,0.6
796,Ito Smith,FBS,CUSA,N,Southern Miss.,Y,11.0,52,820,4536,42,5.5,87.2,0.8
797,Izzy Matthews,FBS,Mountain West,N,Colorado St.,N,Undrafted,47,548,2654,30,4.8,56.5,0.6
798,J'Mari Taylor,FCS,MEAC,N,N.C. Central,N,Undrafted,12,87,421,7,4.8,35.1,0.6
799,J.C. Baker,FCS,MVFC,N,Western Ill.,N,Undrafted,24,462,2414,11,5.2,100.6,0.5
800,J.C. Coleman,FBS,ACC,Y,Virginia Tech,N,Undrafted,13,107,533,3,5.0,41.0,0.2
801,J.D. King,FBS,Sun Belt,N,Ga. Southern,N,Undrafted,19,301,1429,13,4.7,75.2,0.7
802,J.J. Davis,FCS,MEAC,N,Morgan St.,N,Undrafted,21,239,1465,12,6.1,69.8,0.6
803,J.J. Green,FBS,SEC,Y,Georgia,N,Undrafted,13,68,384,3,5.6,29.5,0.2
804,J.J. Taylor,FBS,Pac-12,Y,Arizona,N,Undrafted,36,549,3002,16,5.5,83.4,0.4
805,J.K. Dobbins,FBS,Big Ten,Y,Ohio St.,Y,5.0,42,725,4459,38,6.2,106.2,0.9
806,JD Moore,FCS,Big South,N,Charleston So.,N,Undrafted,10,86,527,6,6.1,52.7,0.6
807,JJ Jude,FCS,OVC,N,Eastern Ky.,N,Undrafted,11,160,637,6,4.0,57.9,0.5
808,Ja'Den McKenzie,FCS,CAA,N,Rhode Island,N,Undrafted,11,130,855,13,6.6,77.7,1.2
809,Ja'Quan Keys,FCS,MVFC,N,Indiana St.,N,Undrafted,7,158,948,13,6.0,135.4,1.9
810,Ja'Quez Cross,FBS,Sun Belt,N,Arkansas St.,N,Undrafted,13,128,716,7,5.6,55.1,0.5
811,Ja'Quinden Jackson,FBS,Pac-12,Y,Utah,N,Undrafted,24,239,1328,13,5.6,55.3,0.5
812,Ja'Terian Douglas,FBS,CUSA,N,Tulsa,N,Undrafted,12,113,379,2,3.4,31.6,0.2
813,Ja'Won Howell,FCS,SWAC,N,Alabama St.,N,Undrafted,11,98,412,2,4.2,37.5,0.2
814,JaMario Clements,FCS,NEC,N,Duquesne,N,Undrafted,10,104,457,3,4.4,45.7,0.3
815,JaTarvious Whitlow,FBS,SEC,Y,Auburn,N,Undrafted,11,156,763,10,4.9,69.4,0.9
816,Jaamal Berry,FCS,OVC,N,Murray St.,N,Undrafted,12,128,668,5,5.2,55.7,0.4
817,Jabari Small,FBS,SEC,Y,Tennessee,N,Undrafted,35,393,2005,24,5.1,57.3,0.7
818,Jabari Turner,FCS,SoCon,N,VMI,N,Undrafted,12,108,424,7,3.9,35.3,0.6
819,Jabari Wilson,FCS,Big Sky,N,Eastern Wash.,N,Undrafted,9,137,661,9,4.8,73.4,1.0
820,Jabriel Johnson,FCS,MEAC,N,Morgan St.,N,Undrafted,11,125,464,2,3.7,42.2,0.2
821,Jacardia Wright,FCS,MVFC,N,Missouri St.,N,Undrafted,20,303,1407,15,4.6,70.4,0.8
822,Jacob Kibodi,FBS,Sun Belt,N,Louisiana,N,Undrafted,12,129,729,7,5.7,60.8,0.6
823,Jacob Saylors,FCS,SoCon,N,ETSU,N,Undrafted,51,608,3861,33,6.4,75.7,0.6
824,Jacobi Green,FCS,CAA,N,Richmond,N,Undrafted,37,497,2795,27,5.6,75.5,0.7
825,Jacorey Howard,FCS,SWAC,N,Texas Southern,N,Undrafted,21,170,835,12,4.9,39.8,0.6
826,Jacory Croskey-Merritt,FBS,Mountain West,N,New Mexico,N,Undrafted,23,309,1612,22,5.2,70.1,1.0
827,Jacory Merritt,FCS,SWAC,N,Alabama St.,N,Undrafted,16,163,634,6,3.9,39.6,0.4
828,Jacques Patrick,FBS,ACC,Y,Florida St.,N,Undrafted,11,134,748,7,5.6,68.0,0.6
829,Jacquez Allen,FCS,SoCon,N,Wofford,N,Undrafted,11,52,528,4,10.2,48.0,0.4
830,Jacquez Stuart,FBS,MAC,N,Toledo,N,Undrafted,26,244,1344,10,5.5,51.7,0.4
831,Jaden Shirden,FCS,CAA,N,Monmouth,N,Undrafted,33,504,3697,26,7.3,112.0,0.8
832,Jaden Stewart,FCS,SWAC,N,Prairie View,N,Undrafted,21,255,1342,14,5.3,63.9,0.7
833,Jaden Sutton,FCS,Patriot,N,Lafayette,N,Undrafted,9,90,398,3,4.4,44.2,0.3
834,Jaedon Henry,FCS,Patriot,N,Colgate,N,Undrafted,21,195,837,4,4.3,39.9,0.2
835,Jaelen Greene,FCS,OVC,N,Jacksonville St.,N,Undrafted,13,134,723,4,5.4,55.6,0.3
836,Jaelin Benefield,FCS,OVC,N,Eastern Ill.,N,Undrafted,6,59,258,1,4.4,43.0,0.2
837,Jager Gardner,FBS,AAC,N,Temple,N,Undrafted,11,141,585,5,4.1,53.2,0.5
838,Jah-Maine Martin,FCS,Big South,N,N.C. A&T,N,Undrafted,34,419,2624,34,6.3,77.2,1.0
839,Jahad Thomas,FBS,AAC,N,Temple,N,Undrafted,26,483,2215,30,4.6,85.2,1.2
840,Jahmyr Gibbs,FBS,SEC,Y,Alabama,Y,2.0,31,383,2132,15,5.6,68.8,0.5
841,Jahwan Edwards,FBS,MAC,N,Ball St.,N,Undrafted,23,474,2362,26,5.0,102.7,1.1
842,Jaimiee Bowe,FCS,OVC,N,UT Martin,N,Undrafted,12,181,747,7,4.1,62.2,0.6
843,Jaison Patterson,FBS,MAC,N,Bowling Green,N,Undrafted,13,135,583,1,4.3,44.8,0.1
844,Jajuan Stinson,FCS,SoCon,N,ETSU,N,Undrafted,21,245,1179,10,4.8,56.1,0.5
845,Jake Chisholm,FCS,Pioneer,N,Dayton,N,Undrafted,31,622,3226,35,5.2,104.1,1.1
846,Jake Funk,FBS,Big Ten,Y,Maryland,Y,16.0,4,60,516,3,8.6,129.0,0.8
847,Jake Hutson,FCS,Pioneer,N,Valparaiso,N,Undrafted,4,76,323,4,4.2,80.8,1.0
848,Jake McKenzie,FCS,Big South,N,Kennesaw St.,N,Undrafted,26,273,1219,4,4.5,46.9,0.2
849,Jake Miller,FCS,Big Sky,N,North Dakota,N,Undrafted,9,98,424,5,4.3,47.1,0.6
850,Jake Stenson,FCS,SoCon,N,The Citadel,N,Undrafted,9,68,597,4,8.8,66.3,0.4
851,Jakobi Buchanan,FBS,FBS Independent,N,Army West Point,N,Undrafted,24,247,978,18,4.0,40.8,0.8
852,Jakori Ford,FCS,Big Sky,N,Idaho St.,N,Undrafted,19,177,911,9,5.1,47.9,0.5
853,Jaleel McLaughlin,FCS,MVFC,N,Youngstown St.,N,Undrafted,28,536,3429,30,6.4,122.5,1.1
854,Jalen Berger,FBS,Big Ten,Y,Michigan St.,N,Undrafted,12,148,683,6,4.6,56.9,0.5
855,Jalen Bussey,FCS,MVFC,N,North Dakota St.,N,Undrafted,7,45,396,3,8.8,56.6,0.4
856,Jalen Hampton,FCS,CAA,N,Elon,N,Undrafted,22,419,1933,16,4.6,87.9,0.7
857,Jalen Hurd,FBS,SEC,Y,Tennessee,N,Undrafted,26,467,2187,17,4.7,84.1,0.7
858,Jalen Jackson,FCS,CAA,N,Villanova,N,Undrafted,26,265,1792,19,6.8,68.9,0.7
859,Jalen Leary,FCS,Pioneer,N,Stetson,N,Undrafted,30,387,2042,22,5.3,68.1,0.7
860,Jalen Madison,FCS,NEC,N,Sacred Heart,N,Undrafted,11,139,645,4,4.6,58.6,0.4
861,Jalen Mitchell,FBS,ACC,Y,Louisville,N,Undrafted,19,207,1069,7,5.2,56.3,0.4
862,Jalen Overstreet,FCS,Southland,N,Sam Houston,N,Undrafted,30,262,1550,14,5.9,51.7,0.5
863,Jalen Randolph,FCS,CAA,N,Delaware,N,Undrafted,34,301,1559,21,5.2,45.9,0.6
864,Jalen Rhodes,FBS,CUSA,N,UTSA,N,Undrafted,23,289,1486,14,5.1,64.6,0.6
865,Jalen Richard,FBS,CUSA,N,Southern Miss.,N,Undrafted,13,185,1098,14,5.9,84.5,1.1
866,Jalen Rouse,FCS,OVC,N,Tennessee St.,N,Undrafted,11,129,613,2,4.8,55.7,0.2
867,Jalen Simmons,FCS,MEAC,N,South Carolina St.,N,Undrafted,22,352,1803,11,5.1,82.0,0.5
868,Jalen White,FBS,Sun Belt,N,Ga. Southern,N,Undrafted,22,322,1803,19,5.6,82.0,0.9
869,Jalin Moore,FBS,Sun Belt,N,App State,N,Undrafted,36,519,3170,27,6.1,88.1,0.8
870,Jam Griffin,FBS,Pac-12,Y,Oregon St.,N,Undrafted,12,86,488,4,5.7,40.7,0.3
871,Jamaal Jackson,FCS,MEAC,N,Delaware St.,N,Undrafted,11,120,493,1,4.1,44.8,0.1
872,Jamaal Williams,FBS,FBS Independent,N,BYU,Y,13.0,22,451,2608,19,5.8,118.5,0.9
873,Jamal Adjamah,FCS,Pioneer,N,Jacksonville,N,Undrafted,11,60,409,2,6.8,37.2,0.2
874,Jamal Haynes,FBS,ACC,Y,Georgia Tech,N,Undrafted,13,174,1059,7,6.1,81.5,0.5
875,Jamal Jones,FBS,Sun Belt,N,Arkansas St.,N,Undrafted,11,132,578,3,4.4,52.5,0.3
876,Jamal Morrow,FBS,Pac-12,Y,Washington St.,N,Undrafted,26,176,1097,9,6.2,42.2,0.3
877,Jamal Towns,FCS,MVFC,N,Illinois St.,N,Undrafted,12,112,627,2,5.6,52.2,0.2
878,Jamal Wilson,FBS,MAC,N,Massachusetts,N,Undrafted,10,100,368,1,3.7,36.8,0.1
879,Jamar Curtis,FCS,Patriot,N,Lafayette,N,Undrafted,22,350,1925,16,5.5,87.5,0.7
880,Jamari Broussard,FCS,SoCon,N,Wofford,N,Undrafted,5,26,158,1,6.1,31.6,0.2
881,Jamari Smith,FCS,MEAC,N,N.C. A&T,N,Undrafted,12,77,422,2,5.5,35.2,0.2
882,Jamaruz Thompkins,FCS,MEAC,N,Bethune-Cookman,N,Undrafted,10,72,396,6,5.5,39.6,0.6
883,Jamauri Bogan,FBS,MAC,N,Western Mich.,N,Undrafted,46,622,3327,43,5.3,72.3,0.9
884,James Baker,FBS,FBS Independent,N,Idaho,N,Undrafted,11,143,593,6,4.1,53.9,0.5
885,James Butler,FBS,Mountain West,N,Nevada,N,Undrafted,38,607,3313,27,5.5,87.2,0.7
886,James Charles,FBS,CUSA,N,Fla. Atlantic,N,Undrafted,9,92,429,4,4.7,47.7,0.4
887,James Conner,FBS,ACC,Y,Pittsburgh,Y,8.0,38,660,3656,50,5.5,96.2,1.3
888,James Cook,FBS,SEC,Y,Georgia,Y,3.0,15,113,728,7,6.4,48.5,0.5
889,James Felila,FCS,Big Sky,N,Southern Utah,N,Undrafted,9,174,694,8,4.0,77.1,0.9
890,James Flanders,FBS,AAC,N,Tulsa,N,Undrafted,13,258,1629,18,6.3,125.3,1.4
891,James Gilbert,FBS,Big 12,Y,Kansas St.,N,Undrafted,46,696,3336,33,4.8,72.5,0.7
892,James Holland,FCS,Patriot,N,Colgate,N,Undrafted,12,158,732,16,4.6,61.0,1.3
893,James Holland Jr.,FCS,Patriot,N,Colgate,N,Undrafted,21,332,1941,18,5.8,92.4,0.9
894,James Johannesson,FCS,FCS Independent,N,North Dakota,N,Undrafted,23,217,1176,11,5.4,51.1,0.5
895,James Kenner,FCS,CAA,N,Stony Brook,N,Undrafted,11,191,829,5,4.3,75.4,0.5
896,James Louis,FCS,Pioneer,N,Morehead St.,N,Undrafted,11,131,780,6,6.0,70.9,0.5
897,James Madison,FCS,Big Sky,N,Idaho St.,N,Undrafted,21,379,1907,16,5.0,90.8,0.8
898,James Owens,FCS,MEAC,N,Florida A&M,N,Undrafted,12,96,379,2,3.9,31.6,0.2
899,James Robinson,FCS,MVFC,N,Illinois St.,N,Undrafted,37,734,4122,42,5.6,111.4,1.1
900,James Sims,FBS,Big 12,Y,Kansas,N,Undrafted,12,230,1110,7,4.8,92.5,0.6
901,James Story,FCS,Pioneer,N,Davidson,N,Undrafted,23,202,1257,19,6.2,54.7,0.8
902,James White,FBS,Big Ten,Y,Wisconsin,Y,11.0,13,221,1444,13,6.5,111.1,1.0
903,James Wilder Jr.,FBS,ACC,Y,Florida St.,N,Undrafted,13,81,563,8,7.0,43.3,0.6
904,James Williams,FBS,Pac-12,Y,Washington St.,N,Undrafted,26,224,1144,18,5.1,44.0,0.7
905,Jamie Smith,FCS,SWAC,N,Ark.-Pine Bluff,N,Undrafted,10,86,380,1,4.4,38.0,0.1
906,Jamycal Hasty,FBS,Big 12,Y,Baylor,N,Undrafted,26,228,1250,10,5.5,48.1,0.4
907,Jamyest Williams,FBS,Sun Belt,N,Georgia St.,N,Undrafted,13,128,859,9,6.7,66.1,0.7
908,Jaquarion Turner,FCS,Southland,N,SFA,N,Undrafted,10,131,537,3,4.1,53.7,0.3
909,Jaquez Moore,FBS,ACC,Y,Duke,N,Undrafted,24,195,1182,11,6.1,49.2,0.5
910,Jaqwis Dancy,FBS,CUSA,N,Louisiana Tech,N,Undrafted,11,124,689,9,5.6,62.6,0.8
911,Jared Baker,FBS,Pac-12,Y,Arizona,N,Undrafted,12,131,798,9,6.1,66.5,0.8
912,Jared Cooper,FCS,Patriot,N,Bucknell,N,Undrafted,10,161,525,2,3.3,52.5,0.2
913,Jared Joyner,FCS,Pioneer,N,Campbell,N,Undrafted,10,143,741,8,5.2,74.1,0.8
914,Jared Mohamed,FCS,Big Sky,N,Cal Poly,N,Undrafted,21,370,1635,7,4.4,77.9,0.3
915,Jared Sanders,FCS,OVC,N,Eastern Ky.,N,Undrafted,12,110,368,2,3.3,30.7,0.2
916,Jared West,FCS,Southland,N,Northwestern St.,N,Undrafted,23,302,1185,13,3.9,51.5,0.6
917,Jared Wilson,FCS,SWAC,N,Mississippi Val.,N,Undrafted,11,125,423,3,3.4,38.5,0.3
918,Jareem Westcott,FCS,Pioneer,N,Stetson,N,Undrafted,18,216,1257,18,5.8,69.8,1.0
919,Jarek Broussard,FBS,Pac-12,Y,Colorado,N,Undrafted,17,298,1556,7,5.2,91.5,0.4
920,Jaren Mangham,FBS,AAC,N,South Fla.,N,Undrafted,12,160,671,15,4.2,55.9,1.2
921,Jaret Patterson,FBS,MAC,N,Buffalo,N,Undrafted,33,636,3884,52,6.1,117.7,1.6
922,Jarett Hunter,FCS,MEAC,N,Howard,N,Undrafted,34,399,1872,17,4.7,55.1,0.5
923,Jarius Jeter,FCS,Pioneer,N,Presbyterian,N,Undrafted,5,43,152,3,3.5,30.4,0.6
924,Jarquez Hunter,FBS,SEC,Y,Auburn,N,Undrafted,37,352,2170,17,6.2,58.6,0.5
925,Jarred Craft,FBS,CUSA,N,Louisiana Tech,N,Undrafted,25,310,1606,12,5.2,64.2,0.5
926,Jarrell Cooper,FCS,CAA,N,William & Mary,N,Undrafted,11,109,425,2,3.9,38.6,0.2
927,Jarrell Wiley,FCS,Southland,N,UIW,N,Undrafted,21,146,819,6,5.6,39.0,0.3
928,Jarrett Morgan,FCS,Pioneer,N,Valparaiso,N,Undrafted,19,249,1039,7,4.2,54.7,0.4
929,Jarrod Lawson,FBS,Mountain West,N,San Jose St.,N,Undrafted,11,164,788,4,4.8,71.6,0.4
930,Jarveon Howard,FCS,SWAC,N,Alcorn,N,Undrafted,22,408,2052,19,5.0,93.3,0.9
931,Jarveon Williams,FBS,CUSA,N,UTSA,N,Undrafted,24,380,1942,16,5.1,80.9,0.7
932,Jarvion Franklin,FBS,MAC,N,Western Mich.,N,Undrafted,52,942,4867,52,5.2,93.6,1.0
933,Jase McClellan,FBS,SEC,Y,Alabama,Y,16.0,26,292,1545,15,5.3,59.4,0.6
934,Jasen Oden Jr.,FBS,Mountain West,N,Colorado St.,N,Undrafted,12,154,746,6,4.8,62.2,0.5
935,Jashaun Corbin,FBS,ACC,Y,Florida St.,N,Undrafted,21,224,1288,12,5.8,61.3,0.6
936,Jason Douglas,FCS,NEC,N,Duquesne,N,Undrafted,11,93,353,1,3.8,32.1,0.1
937,Jason Huntley,FBS,FBS Independent,N,New Mexico St.,Y,14.0,24,263,1595,16,6.1,66.5,0.7
938,Jason Randall,FCS,MVFC,N,Missouri St.,N,Undrafted,20,217,885,7,4.1,44.2,0.4
939,Jasper Sanders,FCS,MVFC,N,South Dakota,N,Undrafted,10,128,697,5,5.4,69.7,0.5
940,Jatarvious Whitlow,FBS,SEC,Y,Auburn,N,Undrafted,13,150,787,6,5.2,60.5,0.5
941,Jauan Latney,FCS,CAA,N,James Madison,N,Undrafted,11,122,692,7,5.7,62.9,0.6
942,Javian Hawkins,FBS,ACC,Y,Louisville,N,Undrafted,21,397,2347,16,5.9,111.8,0.8
943,Javon Leake,FBS,Big Ten,Y,Maryland,N,Undrafted,12,102,736,8,7.2,61.3,0.7
944,Javon White,FCS,CAA,N,Villanova,N,Undrafted,12,115,515,7,4.5,42.9,0.6
945,Javon Williams Jr.,FCS,MVFC,N,Southern Ill.,N,Undrafted,45,505,2549,42,5.0,56.6,0.9
946,Javonte Williams,FBS,ACC,Y,North Carolina,Y,3.0,24,323,2073,24,6.4,86.4,1.0
947,Javorius Allen,FBS,Pac-12,Y,Southern California,Y,10.0,27,411,2274,25,5.5,84.2,0.9
948,Jawaun Northington,FCS,MVFC,N,Murray St.,N,Undrafted,9,86,380,2,4.4,42.2,0.2
949,Jawhar Jordan,FBS,ACC,Y,Louisville,Y,17.0,26,323,1943,17,6.0,74.7,0.7
950,Jawon Chisholm,FBS,MAC,N,Akron,N,Undrafted,23,303,1489,16,4.9,64.7,0.7
951,Jawon Davis,FBS,CUSA,N,Rice,N,Undrafted,10,95,476,3,5.0,47.6,0.3
952,Jawon Hamilton,FBS,MAC,N,Eastern Mich.,N,Undrafted,35,358,2084,14,5.8,59.5,0.4
953,Jay Ajayi,FBS,Mountain West,N,Boise St.,Y,13.0,27,596,3248,46,5.4,120.3,1.7
954,Jay Ducker,FBS,AAC,N,Memphis,N,Undrafted,13,110,544,7,4.9,41.8,0.5
955,Jay Green,FCS,Big Sky,N,Southern Utah,N,Undrafted,28,344,1645,22,4.8,58.8,0.8
956,Jay Jones,FBS,Sun Belt,N,South Alabama,N,Undrafted,12,143,737,5,5.2,61.4,0.4
957,Jay Stanton,FCS,SoCon,N,Samford,N,Undrafted,53,647,3471,35,5.4,65.5,0.7
958,Jay Warren,FBS,CUSA,N,Fla. Atlantic,N,Undrafted,10,121,571,2,4.7,57.1,0.2
959,Jay'Veon Sunday,FCS,ASUN,N,Abilene Christian,N,Undrafted,11,126,677,3,5.4,61.5,0.3
960,Jayden Brown,FCS,OVC,N,Gardner-Webb,N,Undrafted,22,191,1125,11,5.9,51.1,0.5
961,Jaydn Ott,FBS,Pac-12,Y,California,N,Undrafted,24,416,2212,20,5.3,92.2,0.8
962,Jaylan Knighton,FBS,AAC,N,SMU,N,Undrafted,20,281,1306,15,4.6,65.3,0.8
963,Jaylan Thomas,FCS,SoCon,N,Samford,N,Undrafted,38,445,2280,17,5.1,60.0,0.4
964,Jaylen Coleman,FBS,ACC,Y,Duke,N,Undrafted,9,102,480,4,4.7,53.3,0.4
965,Jaylen Smith,FCS,CAA,N,Rhode Island,N,Undrafted,11,89,469,1,5.3,42.6,0.1
966,Jaylen Thomas,FBS,MAC,N,Kent St.,N,Undrafted,11,133,460,2,3.5,41.8,0.2
967,Jaylen Walton,FBS,SEC,Y,Ole Miss,N,Undrafted,38,361,1839,16,5.1,48.4,0.4
968,Jaylen Warren,FBS,Big 12,Y,Oklahoma St.,N,Undrafted,26,368,1785,16,4.9,68.7,0.6
969,Jaylen Wright,FBS,SEC,Y,Tennessee,Y,5.0,25,283,1888,14,6.7,75.5,0.6
970,Jayln Cagle,FCS,Big South,N,Gardner-Webb,N,Undrafted,33,442,1885,13,4.3,57.1,0.4
971,Jaylon Bester,FBS,MAC,N,Miami (OH),N,Undrafted,11,171,741,14,4.3,67.4,1.3
972,Jaylon Glover,FBS,Pac-12,Y,Utah,N,Undrafted,13,137,562,2,4.1,43.2,0.2
973,Jaylon Jackson,FBS,MAC,N,Eastern Mich.,N,Undrafted,19,185,796,2,4.3,41.9,0.1
974,Jaylon Spears,FCS,Southland,N,Nicholls,N,Undrafted,11,115,753,6,6.5,68.5,0.5
975,Jeff Proctor,FCS,MVFC,N,Illinois St.,N,Undrafted,11,112,476,2,4.2,43.3,0.2
976,Jeff Scott,FBS,SEC,Y,Ole Miss,N,Undrafted,8,67,493,2,7.4,61.6,0.2
977,Jeffery Wilson,FBS,CUSA,N,North Texas,N,Undrafted,22,357,2151,30,6.0,97.8,1.4
978,Jeffrey Keil,FCS,Pioneer,N,Davidson,N,Undrafted,12,153,725,8,4.7,60.4,0.7
979,Jeffrey Wilson,FBS,CUSA,N,North Texas,N,Undrafted,10,155,830,1,5.4,83.0,0.1
980,Jela Duncan,FBS,ACC,Y,Duke,N,Undrafted,13,113,562,3,5.0,43.2,0.2
981,Jer Garman,FCS,Big Sky,N,North Dakota,N,Undrafted,12,171,857,7,5.0,71.4,0.6
982,Jereke Armstrong,FCS,Pioneer,N,San Diego,N,Undrafted,23,225,1106,12,4.9,48.1,0.5
